,기사작성일,기사제목,기사주소
59,2020.08.03.,"제주청 사이버수사대, 가짜 투자사이트 운영 일당 검거",http://www.jejuilbo.net/news/articleView.html?idxno=148928
60,2020.07.20.,사상 최악의 사이버 테러를 막아낸 20대 해커,http://www.gqkorea.co.kr/2020/07/20/%ec%82%ac%ec%83%81-%ec%b5%9c%ec%95%85%ec%9d%98-%ec%82%ac%ec%9d%b4%eb%b2%84-%ed%85%8c%eb%9f%ac%eb%a5%bc-%eb%a7%89%ec%95%84%eb%82%b8-20%eb%8c%80-%ed%95%b4%ec%bb%a4/?utm_source=naver&utm_medium=partnership
61,2020.12.27.,"올세이프, 나홀로족 몸캠피싱 피해 줄이는 피씽 솔루션 제공",http://www.cctvnews.co.kr/news/articleView.html?idxno=216923
62,2020.08.03.,"전북경찰, 2달 간 서민경제 침해하는 보이스피싱 등 사기사범 566명 검거",http://www.jeollailbo.com/news/articleView.html?idxno=604795
63,2020.07.31.,"유럽연합, 첫 사이버 관련 제재에 북중러 개인 기관 포함",https://www.asiatoday.co.kr/view.php?key=20200731010019067
64,2020.07.28.,"나주경찰서, 인터넷 물품사기 피의자 검거",http://www.sisamagazine.co.kr/news/articleView.html?idxno=326088
65,2020.07.27.,[사설]전주서 또 대부업 사기라니,http://sjbnews.com/news/news.php?number=689771
66,2020.08.03.,지난해 범죄발생 4년만 '증가세'…사기 12.8% 급증,http://www.fnnews.com/news/202008031554470024
67,2020.07.14.,"미국 비밀 경호국, 해커 잡는 부서와 금융 사기 방지 부서 합쳤다",http://www.boannews.com/media/view.asp?idx=89783&kind=
68,2020.07.10.,[단독] 맘카페 중심 '백화점 상품권 사기' 주의보,https://www.ibabynews.com/news/articleView.html?idxno=87114
69,2020.07.21.,금융사기 대응으로 업무 보폭 넓히는 국정원...왜?,http://www.digitaltoday.co.kr/news/articleView.html?idxno=241871
70,2020.12.14.,"몸캠피싱 보안 ’올세이프’, 피씽 24시간 상담 실시",http://news.heraldcorp.com/view.php?ud=20201214000149
71,2020.07.27.,"나주경찰서, 인터넷 물품사기 피의자 구속",http://www.metroseoul.co.kr/article/20200727500461
72,2020.12.07.,"와이즈유 박지현 교수, 인니 UII대학 국제학술대회 기조연설",http://news.mt.co.kr/mtview.php?no=2020120710497469241
73,2020.12.05.,"올세이프, 나홀로족 노린 몸캠피싱 증가 추세에… '24시간 피씽 상담 진행'",http://www.e2news.com/news/articleView.html?idxno=228426
74,2020.12.01.,"나홀로족 노린 몸캠피싱 증가…'올세이프, 24시간 피씽 상담 진행'",http://www.kgdm.co.kr/news/articleView.html?idxno=727629
75,2020.12.08.,코로나시대 한국 법 제정ㆍ사회 동향 발표,http://www.gnmaeil.com/news/articleView.html?idxno=462285
76,2020.11.30.,[단독]'딸이 보낸 앱 깔았는데 폰이 제멋대로…' 3000만원 털렸다,http://news.mt.co.kr/mtview.php?no=2020113009340472659
77,2020.11.26.,"경찰청, 편의점업계와 힘 모아 메신저피싱 예방 위한 공동 홍보 추진",http://www.boannews.com/media/view.asp?idx=92921&kind=
78,2020.11.25.,"경찰, 편의점과 함께 메신저피싱 예방한다",http://www.mrepublic.co.kr/news/articleView.html?idxno=57332
79,2020.11.23.,"'상품권·기프트카드' 메신저피싱 기승…경찰, 예방 나선다",http://www.newsis.com/view/?id=NISX20201122_0001242662&cID=10201&pID=10200
80,2020.11.22.,"몸캠피싱 대응센터 시큐어앱, 피씽 ‘피해 예방 수칙’ 공개해 피해자 지원에 앞장서",http://news.heraldcorp.com/view.php?ud=20201120000771
81,2020.11.23.,'스토킹' 솜방망이 처벌 논란,http://www.ilyosisa.co.kr/news/articleView.html?idxno=222965
82,2020.11.18.,"몸캠피싱 대응센터 ‘시큐어앱’, 피씽 피해 예방을 위해 조언 알려",http://news.heraldcorp.com/view.php?ud=20201117000069
83,2020.11.24.,스미싱 주의보에 원천차단 나선 시중銀,http://www.seoulwire.com/news/articleView.html?idxno=430379
84,2020.11.23.,몸캠피싱 전문 업체 ‘올세이프’ 스마트폰 피씽 조언 알려,http://news.heraldcorp.com/view.php?ud=20201123000074
85,2020.11.16.,"""박원순 성추행 묵인 의혹 필요성 인정되면 압색 재신청 검토""",https://www.news1.kr/articles/?4119992
86,2020.11.16.,"몸캠피싱 대응서비스 케어라풋, 영상제거기술로 피씽 피해자 구제",http://www.kgdm.co.kr/news/articleView.html?idxno=724947
87,2020.11.06.,"몸캠피싱 대응센터 '시큐어앱', 피씽 예방수칙 공개해 화제",http://www.e2news.com/news/articleView.html?idxno=227535
88,2020.11.06.,"몸캠피싱 대응센터 케어라풋, 전문적인 보안기술로 피씽 피해자 구제",https://www.itbiznews.com/news/articleView.html?idxno=23168
89,2020.11.14.,"""청혼하고 거액 뜯어냈다""..브래드 피트, 황당한 1억 소송서 이겼다",http://www.osen.co.kr/article/G1111473129
90,2020.11.13.,"MG손보, '하이패스 운전자상해보험' 판매",http://www.seoulfn.com/news/articleView.html?idxno=400960
91,2020.11.03.,전북경찰 '중고거래 사이트' 모니터링 강화,http://www.breaknews.com/764766
92,2020.10.28.,“현금 공짜로 줘요” SNS 속지 마세요,http://www.koreatimes.com/article/1334197
93,2020.11.03.,"몸캠피싱 해결 전문 '시큐어앱', 악성코드 분석 능력 동원해 피씽 피해 해결 나서",http://www.e2news.com/news/articleView.html?idxno=227420
94,2020.11.09.,채팅앱 속 외국인의 투자 유혹…잡기도 어렵다,https://news.sbs.co.kr/news/endPage.do?news_id=N1006063981&plink=ORI&cooper=NAVER
95,2020.10.23.,"몸캠피싱 보안업체 케어라풋, 피씽 동영상 유포협박에 신속 대응",http://www.mhns.co.kr/news/articleView.html?idxno=419600
96,2020.10.18.,"코로나의 함정…공갈, 협박, 스토킹 '언택트 범죄'가 늘었다 [왜?]",http://news.mt.co.kr/mtview.php?no=2020101515274937700
97,2020.10.30.,"올세이프, '나홀로족' 노리는 몸캠피싱 증가로 24시간 피씽 상담 진행",http://www.mhns.co.kr/news/articleView.html?idxno=420129
98,2020.10.29.,"[글로벌포스트] ""비트코인, 위험구간 진입..안정 후 매수 제안""",http://www.fnnews.com/news/202010290644050043
99,2020.11.09.,"행동주의 헤지펀드 엘리엇, F5네트웍스 지분 매입…경영 개입 시사",http://www.newspim.com/news/view/20201109000044
100,2020.10.08.,"서영교 행안위원장, 신종사기로 국민피해 극심 3년간 지속적으로 증가",http://www.breaknews.com/759766
101,2020.07.01.,"경찰, 1개월간 피싱범죄·사이버사기· 불법사금융·사행성게임장 집중수사",http://www.gukjenews.com/news/articleView.html?idxno=2028842
102,2020.09.21.,추석 앞두고 ‘사이버 범죄’ 증가 예상…경찰 “강력 대응“,http://www.segye.com/content/html/2020/09/21/20200921506835.html?OutUrl=naver
103,2020.09.28.,"[추석특집 유통 ④] 추석 맞아 사기거래 '기승'…유통업계, '신고센터' 운영",http://www.mediasr.co.kr/news/articleView.html?idxno=62544
104,2020.09.30.,사기꾼이 보낸 명절 인사…추석 스미싱 주의,http://www.newsis.com/view/?id=NISX20200930_0001184212&cID=10806&pID=10800
105,2020.09.18.,[독자투고] 사이버 범죄 예방법 숙지로 풍성한 한가위 보내세요,http://www.nspna.com/news/?mode=view&newsid=454128
106,2020.10.04.,코로나에 비대면 거래늘자…온라인 사기 극성,http://www.yonhapnewstv.co.kr/MYH20201004001100641/?did=1825m
107,2020.09.27.,입금하면 잠적…추석 전후 온라인 사기 주의보,http://www.idaegu.co.kr/news/articleView.html?idxno=324386
108,2020.10.02.,코로나로 사기도 '비대면'으로 진화…10대 대상 온라인 사기 급증,https://news.joins.com/article/olink/23479435
109,2020.10.08.,"제주, 온라인 거래 사기 늘어난다",http://www.jibs.co.kr/news/articles/articlesDetail/11876?feed=na
