"행정구역별(시군구)","가구주의 연령",2020,2020,2020,2020,2020,2020,2020,2020,2020
"행정구역별(시군구)","가구주의 연령",일반가구,가구원수 1명,가구원수 2명,가구원수 3명,가구원수 4명,가구원수 5명,가구원수 6명,가구원수 7명 이상,평균 가구원수
"청원구","합계",80691,28208,20220,15250,13089,3256,534,134,2.3
"보은군","합계",14306,5081,5452,2078,1103,433,109,50,2.1
"옥천군","합계",20721,6142,7979,3500,2142,717,173,68,2.2
"영동군","합계",20984,7675,7436,3125,1827,670,187,64,2.1
"진천군","합계",34771,11855,10220,6174,4845,1356,244,77,2.3
"괴산군","합계",18209,7554,6722,2344,1033,398,108,50,1.9
"음성군","합계",40342,15528,12497,6435,4291,1218,284,89,2.1
"단양군","합계",12785,4650,4858,1882,963,320,90,22,2
"증평군","합계",15714,5589,4528,2759,2073,604,123,38,2.2
"읍부","합계",207389,69385,62859,37389,27683,7924,1646,503,2.3
"면부","합계",274141,96972,98768,42351,24910,8100,2237,803,2.1
"동부","합계",410692,138616,103282,80014,68996,16395,2735,654,2.3
"천안시","합계",275707,97287,67238,52897,45467,10594,1767,457,2.3
"동남구","합계",111538,40654,28569,20415,16721,4173,792,214,2.3
"서북구","합계",164169,56633,38669,32482,28746,6421,975,243,2.4
"공주시","합계",46165,16886,15220,7510,4555,1452,403,139,2.1
"보령시","합계",42417,13745,15099,7222,4566,1366,310,109,2.2
"아산시","합계",128012,42748,32862,24051,21497,5617,992,245,2.4
"서산시","합계",72765,23003,22845,13606,10134,2531,517,129,2.3
"논산시","합계",50139,17566,16954,8333,5097,1642,423,124,2.2
"계룡시","합계",15137,3218,4498,3365,3068,803,148,37,2.6
"당진시","합계",69099,23570,20281,12382,9549,2607,535,175,2.3
"금산군","합계",23257,8783,8099,3387,1996,714,204,74,2.1
"부여군","합계",28332,9598,10879,4377,2276,864,233,105,2.1
"서천군","합계",22790,7846,8923,3407,1775,591,179,69,2.1
"청양군","합계",13532,4709,5210,2025,983,422,123,60,2.1
"홍성군","합계",43192,14810,13928,7405,5131,1492,330,96,2.2
"예산군","합계",33675,11065,12507,5543,3209,1010,252,89,2.2
"태안군","합계",28003,10139,10366,4244,2286,714,202,52,2.1
"읍부","합계",64239,21456,20737,10858,7544,2733,668,243,2.3
"면부","합계",163450,58295,64078,23709,11223,4214,1372,559,2.1
"동부","합계",527886,175518,148519,99847,78140,21015,3880,967,2.3
"전주시","합계",270768,89038,72892,52630,42417,11338,1978,475,2.3
"완산구","합계",140814,46758,39122,27123,21084,5528,977,222,2.3
"덕진구","합계",129954,42280,33770,25507,21333,5810,1001,253,2.4
"군산시","합계",111817,37319,33761,20654,15217,3913,753,200,2.3
