"영등포구","총인구수 (명)",379480,12788,13048,11444,12834,21920,37156,35791,33454,27931,28507,28741,28190,27013,20059,15723,11657,7628,3711,1236,362,287
"영등포구","남자인구수 (명)",187647,6515,6650,5932,6726,10271,17489,18135,17438,14405,14625,14489,14425,13249,9627,7321,5245,3241,1341,348,100,75
"영등포구","여자인구수 (명)",191833,6273,6398,5512,6108,11649,19667,17656,16016,13526,13882,14252,13765,13764,10432,8402,6412,4387,2370,888,262,212
"동작구","총인구수 (명)",391220,10942,13622,13111,14710,27603,38942,31789,30307,28722,30190,29702,28641,28011,21151,17066,12689,8108,3787,1432,382,313
"동작구","남자인구수 (명)",189152,5593,6935,6777,7531,12923,19201,16078,15344,14431,15080,14344,13636,13005,9619,7499,5833,3409,1347,384,92,91
"동작구","여자인구수 (명)",202068,5349,6687,6334,7179,14680,19741,15711,14963,14291,15110,15358,15005,15006,11532,9567,6856,4699,2440,1048,290,222
"관악구","총인구수 (명)",495060,9898,12474,12731,15869,39220,69915,48899,37882,33151,35333,34474,33578,33206,26037,21172,16004,9292,3849,1402,351,323
"관악구","남자인구수 (명)",248339,5069,6430,6566,8075,17377,35791,27175,20762,17779,18779,17439,16629,15588,11955,9640,7343,4070,1389,336,79,68
"관악구","여자인구수 (명)",246721,4829,6044,6165,7794,21843,34124,21724,17120,15372,16554,17035,16949,17618,14082,11532,8661,5222,2460,1066,272,255
"서초구","총인구수 (명)",425126,13125,20726,23103,22226,25144,29947,29652,33572,37128,40227,34723,28474,27007,20790,16331,11103,6461,3326,1409,420,232
"서초구","남자인구수 (명)",203359,6813,10677,11749,11371,12305,14134,13756,15384,16931,19433,17358,13742,12551,9490,7458,5392,3007,1234,405,107,62
"서초구","여자인구수 (명)",221767,6312,10049,11354,10855,12839,15813,15896,18188,20197,20794,17365,14732,14456,11300,8873,5711,3454,2092,1004,313,170
"강남구","총인구수 (명)",539231,13621,23145,29138,29996,33282,40658,39296,42542,47098,52168,44682,35668,32978,26445,20595,13572,7836,3977,1731,507,296
"강남구","남자인구수 (명)",257999,7056,11995,15172,15687,16261,19108,18316,19185,21289,24856,22612,17577,15296,11896,9498,6625,3582,1412,410,109,57
"강남구","여자인구수 (명)",281232,6565,11150,13966,14309,17021,21550,20980,23357,25809,27312,22070,18091,17682,14549,11097,6947,4254,2565,1321,398,239
"송파구","총인구수 (명)",667960,21984,28760,29061,30007,40237,53882,53580,57010,54173,55126,52816,49750,48265,35919,24716,15724,9165,4967,1984,535,299
"송파구","남자인구수 (명)",322299,11427,14775,14809,15436,19503,25281,25626,27432,26081,26558,25818,23970,22547,17142,12107,7617,3913,1588,488,103,78
"송파구","여자인구수 (명)",345661,10557,13985,14252,14571,20734,28601,27954,29578,28092,28568,26998,25780,25718,18777,12609,8107,5252,3379,1496,432,221
"강동구","총인구수 (명)",459970,15301,19449,19321,19640,26636,34821,33875,38211,36959,37085,36237,35990,36542,26702,18615,12017,6920,3530,1485,379,255
"강동구","남자인구수 (명)",226216,7798,10179,10193,10293,13386,16936,16882,19058,18489,18658,17819,17364,17285,12704,9034,5764,2847,1072,311,80,64
"강동구","여자인구수 (명)",233754,7503,9270,9128,9347,13250,17885,16993,19153,18470,18427,18418,18626,19257,13998,9581,6253,4073,2458,1174,299,191
"중구","총인구수 (명)",41523,526,794,861,1166,2482,3197,2201,2270,2327,3067,3441,3633,4243,3648,2846,2264,1449,648,292,83,85
"중구","남자인구수 (명)",20282,282,407,435,597,1158,1648,1201,1223,1258,1681,1780,1782,2012,1697,1250,976,555,213,79,28,20
"중구","여자인구수 (명)",21241,244,387,426,569,1324,1549,1000,1047,1069,1386,1661,1851,2231,1951,1596,1288,894,435,213,55,65
"서구","총인구수 (명)",108135,2315,3307,3386,3901,6648,6893,5193,6013,6720,7987,8673,9329,10424,8690,6945,5424,3722,1704,578,160,123
"서구","남자인구수 (명)",52341,1182,1735,1721,1968,3182,3494,2716,3041,3470,4146,4539,4652,4940,3980,3137,2255,1440,537,122,49,35
"서구","여자인구수 (명)",55794,1133,1572,1665,1933,3466,3399,2477,2972,3250,3841,4134,4677,5484,4710,3808,3169,2282,1167,456,111,88
"동구","총인구수 (명)",88901,1854,2231,2245,2900,4591,5881,5060,5335,5374,6579,7224,7484,8762,7332,5941,4789,3193,1439,489,97,101
"동구","남자인구수 (명)",43509,989,1160,1138,1522,2316,2987,2678,2874,2915,3495,3740,3752,4231,3364,2635,1958,1158,421,117,28,31
"동구","여자인구수 (명)",45392,865,1071,1107,1378,2275,2894,2382,2461,2459,3084,3484,3732,4531,3968,3306,2831,2035,1018,372,69,70
"영도구","총인구수 (명)",113342,2039,3100,3395,4008,6001,5989,4711,5899,6741,8418,9322,10237,11999,10172,8166,6390,4125,1761,580,157,132
"영도구","남자인구수 (명)",55846,1001,1592,1740,2093,3238,3335,2616,3104,3537,4416,4887,5092,5826,4764,3657,2677,1534,554,114,36,33
"영도구","여자인구수 (명)",57496,1038,1508,1655,1915,2763,2654,2095,2795,3204,4002,4435,5145,6173,5408,4509,3713,2591,1207,466,121,99
"부산진구","총인구수 (명)",359886,9349,11969,11722,13283,23393,29388,23443,24551,24430,27268,28695,29941,31558,24456,18126,13639,8928,3991,1236,288,232
"부산진구","남자인구수 (명)",173920,4778,6002,5942,6799,11380,14535,11888,12624,12445,13646,14032,14398,14848,11508,8203,5828,3368,1295,284,69,48
"부산진구","여자인구수 (명)",185966,4571,5967,5780,6484,12013,14853,11555,11927,11985,13622,14663,15543,16710,12948,9923,7811,5560,2696,952,219,184
"동래구","총인구수 (명)",270745,7913,11722,12284,12686,15963,16719,14743,18335,20458,22726,22484,21908,22877,18151,13095,9196,5634,2619,891,202,139
"동래구","남자인구수 (명)",131735,4053,6124,6398,6603,8385,8716,7510,9069,9946,11118,10912,10197,10682,8365,6078,4184,2313,807,206,47,22
"동래구","여자인구수 (명)",139010,3860,5598,5886,6083,7578,8003,7233,9266,10512,11608,11572,11711,12195,9786,7017,5012,3321,1812,685,155,117
"남구","총인구수 (명)",267731,7042,11010,11107,11928,18159,17080,13333,16853,19610,22283,22019,20780,22629,18289,14164,10719,6604,2863,926,196,137
"남구","남자인구수 (명)",131037,3599,5611,5716,6221,9337,9280,6973,8503,9753,11302,10901,9968,10383,8439,6408,4733,2705,934,202,46,23
"남구","여자인구수 (명)",136694,3443,5399,5391,5707,8822,7800,6360,8350,9857,10981,11118,10812,12246,9850,7756,5986,3899,1929,724,150,114
"북구","총인구수 (명)",283952,8158,10836,10768,12533,18105,19480,15880,17637,18742,21743,25985,27966,26815,18650,12547,8761,5523,2683,835,201,104
"북구","남자인구수 (명)",140527,4200,5622,5571,6555,9743,10523,8214,9154,9571,10498,12118,13585,13354,9081,5886,3860,2048,719,174,29,22
"북구","여자인구수 (명)",143425,3958,5214,5197,5978,8362,8957,7666,8483,9171,11245,13867,14381,13461,9569,6661,4901,3475,1964,661,172,82
"해운대구","총인구수 (명)",402169,11277,17234,18216,19934,24433,24635,20596,26193,30340,35489,36079,34211,33226,24676,17708,13088,8763,4211,1368,330,162
"해운대구","남자인구수 (명)",193618,5787,8966,9388,10339,12929,12804,10165,12631,14554,16669,17277,16118,15832,11564,7998,5584,3297,1300,303,67,46
"해운대구","여자인구수 (명)",208551,5490,8268,8828,9595,11504,11831,10431,13562,15786,18820,18802,18093,17394,13112,9710,7504,5466,2911,1065,263,116
"사하구","총인구수 (명)",311757,8191,11778,11883,13502,19724,20104,16530,20447,21529,24494,26933,27949,29123,22119,15550,10685,6736,2965,1086,267,162
"사하구","남자인구수 (명)",155228,4213,6027,6123,7079,10417,10928,8891,10671,11228,12329,13265,13591,13996,10710,7286,4787,2528,866,218,42,33
"사하구","여자인구수 (명)",156529,3978,5751,5760,6423,9307,9176,7639,9776,10301,12165,13668,14358,15127,11409,8264,5898,4208,2099,868,225,129
"금정구","총인구수 (명)",232666,5126,7907,8155,9555,16809,16500,11962,13266,14926,17258,19526,21092,21664,17100,12521,9151,5842,2915,959,233,199
"금정구","남자인구수 (명)",113595,2631,4032,4274,4863,8589,9325,6411,6718,7520,8498,9309,9956,10224,7860,5779,4104,2294,878,238,49,43
"금정구","여자인구수 (명)",119071,2495,3875,3881,4692,8220,7175,5551,6548,7406,8760,10217,11136,11440,9240,6742,5047,3548,2037,721,184,156
"강서구","총인구수 (명)",137957,9310,10785,7106,4608,5054,7281,10908,16400,13829,9838,8263,8684,9258,6589,4111,2764,1782,893,369,78,47
